,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_at_school_or_learning_institution_number_and_percent,male_after_completion_number_and_percent,male_before_completion_number_and_percent,male_never_been_to_school_or_learning_institution_number_and_percent,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,Unnamed: 19,female_male_Place_county_or_subcounty,female_male_total_and_gender,female_male_number,female_male_at_school_or_learning_institution_number_and_percent,female_male_after_completion_number_and_percent,female_male_before_completion_number_and_percent,female_male_never_been_to_school_or_learning_institution_number_and_percent,female_male_dont_know_number,female_male_dont_know_number_percent,female_male_not_stated_number,female_male_at_school_or_learning_institution_number,female_male_at_school_or_learning_institution_pct,female_male_after_completion_number,female_male_after_completion_pct,female_male_before_completion_number,female_male_before_completion_pct,female_male_never_been_to_school_or_learning_institution_number,female_male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower
335,Tana River,Hola,4,Tana Delta,tana delta,TANA DELTA,TANA DELTA,"99,792","38,308 38.4","11,589 11.6","10,687 10.7","38,778 38.9",384,0.4,46,"38,308",38.4,"11,589",11.6,"10,687",10.7,"38,778",38.9,77,TANA DELTA,Male,"50,066","19,808 39.6","6,810 13.6","5,371 10.7","17,832 35.6",229,0.5,16,"19,808",39.6,"6,810",13.6,"5,371",10.7,"17,832",35.6,77,TANA DELTA,Male,"50,066","19,808 39.6","6,810 13.6","5,371 10.7","17,832 35.6",229,0.5,16,"19,808",39.6,"6,810",13.6,"5,371",10.7,"17,832",35.6,tana delta
336,Tana River,Hola,4,Tana North,tana north,TANA NORTH,TANA NORTH,"105,495","28,681 27.2","10,250 9.7","7,843 7.4","57,968 54.9",724,0.7,29,"28,681",27.2,"10,250",9.7,"7,843",7.4,"57,968",54.9,80,TANA NORTH,Male,"53,199","15,776 29.7","6,284 11.8","4,254 8.0","26,472 49.8",396,0.7,17,"15,776",29.7,"6,284",11.8,"4,254",8,"26,472",49.8,80,TANA NORTH,Male,"53,199","15,776 29.7","6,284 11.8","4,254 8.0","26,472 49.8",396,0.7,17,"15,776",29.7,"6,284",11.8,"4,254",8,"26,472",49.8,tana north
331,Tana River,Hola,4,,,TANA RIVER,TANA RIVER,"284,605","95,997 33.7","32,815 11.5","29,062 10.2","125,160 44.0","1,445",0.5,126,"95,997",33.7,"32,815",11.5,"29,062",10.2,"125,160",44,74,TANA RIVER,Male,"142,087","50,470 35.5","19,351 13.6","14,502 10.2","56,872 40.0",835,0.6,57,"50,470",35.5,"19,351",13.6,"14,502",10.2,"56,872",40,74,TANA RIVER,Male,"142,087","50,470 35.5","19,351 13.6","14,502 10.2","56,872 40.0",835,0.6,57,"50,470",35.5,"19,351",13.6,"14,502",10.2,"56,872",40,tana river
332,Tana River,Hola,4,,,TANA RIVER,TANA RIVER,"284,605","95,997 33.7","32,815 11.5","29,062 10.2","125,160 44.0","1,445",0.5,126,"95,997",33.7,"32,815",11.5,"29,062",10.2,"125,160",44,83,TANA RIVER,Male,"38,822","14,886 38.3","6,257 16.1","4,877 12.6","12,568 32.4",210,0.5,24,"14,886",38.3,"6,257",16.1,"4,877",12.6,"12,568",32.4,83,TANA RIVER,Male,"38,822","14,886 38.3","6,257 16.1","4,877 12.6","12,568 32.4",210,0.5,24,"14,886",38.3,"6,257",16.1,"4,877",12.6,"12,568",32.4,tana river
333,Tana River,Hola,4,,,TANA RIVER,TANA RIVER,"79,318","29,008 36.6","10,976 13.8","10,532 13.3","28,414 35.8",337,0.4,51,"29,008",36.6,"10,976",13.8,"10,532",13.3,"28,414",35.8,74,TANA RIVER,Male,"142,087","50,470 35.5","19,351 13.6","14,502 10.2","56,872 40.0",835,0.6,57,"50,470",35.5,"19,351",13.6,"14,502",10.2,"56,872",40,74,TANA RIVER,Male,"142,087","50,470 35.5","19,351 13.6","14,502 10.2","56,872 40.0",835,0.6,57,"50,470",35.5,"19,351",13.6,"14,502",10.2,"56,872",40,tana river
334,Tana River,Hola,4,,,TANA RIVER,TANA RIVER,"79,318","29,008 36.6","10,976 13.8","10,532 13.3","28,414 35.8",337,0.4,51,"29,008",36.6,"10,976",13.8,"10,532",13.3,"28,414",35.8,83,TANA RIVER,Male,"38,822","14,886 38.3","6,257 16.1","4,877 12.6","12,568 32.4",210,0.5,24,"14,886",38.3,"6,257",16.1,"4,877",12.6,"12,568",32.4,83,TANA RIVER,Male,"38,822","14,886 38.3","6,257 16.1","4,877 12.6","12,568 32.4",210,0.5,24,"14,886",38.3,"6,257",16.1,"4,877",12.6,"12,568",32.4,tana river
306,Wajir,Wajir,8,Tarbaj,tarbaj,TARBAJ,TARBAJ,"50,653","6,525 12.9",424 0.8,271 0.5,"43,113 85.1",320,0.6,-,"6,525",12.9,424,0.8,271,0.5,"43,113",85.1,146,TARBAJ,Male,"24,262","3,311 13.6",303 1.2,135 0.6,"20,353 83.9",160,0.7,-,"3,311",13.6,303,1.2,135,0.6,"20,353",83.9,146,TARBAJ,Male,"24,262","3,311 13.6",303 1.2,135 0.6,"20,353 83.9",160,0.7,-,"3,311",13.6,303,1.2,135,0.6,"20,353",83.9,tarbaj
269,Taita-Taveta,Voi,6,Taveta,taveta,TAVETA,TAVETA,"82,789","31,879 38.5","25,884 31.3","15,410 18.6","9,009 10.9",585,0.7,22,"31,879",38.5,"25,884",31.3,"15,410",18.6,"9,009",10.9,104,TAVETA,Male,"42,548","16,342 38.4","13,891 32.6","7,929 18.6","4,016 9.4",361,0.8,9,"16,342",38.4,"13,891",32.6,"7,929",18.6,"4,016",9.4,104,TAVETA,Male,"42,548","16,342 38.4","13,891 32.6","7,929 18.6","4,016 9.4",361,0.8,9,"16,342",38.4,"13,891",32.6,"7,929",18.6,"4,016",9.4,taveta
24,Busia,Busia,40,Teso North,teso north,TESO NORTH,TESO NORTH,"126,387","63,423 50.2","21,859 17.3","28,497 22.5","12,061 9.5",543,0.4,4,"63,423",50.2,"21,859",17.3,"28,497",22.5,"12,061",9.5,986,TESO NORTH,Male,"60,543","31,916 52.7","11,242 18.6","12,290 20.3","4,785 7.9",308,0.5,2,"31,916",52.7,"11,242",18.6,"12,290",20.3,"4,785",7.9,986,TESO NORTH,Male,"60,543","31,916 52.7","11,242 18.6","12,290 20.3","4,785 7.9",308,0.5,2,"31,916",52.7,"11,242",18.6,"12,290",20.3,"4,785",7.9,teso north
25,Busia,Busia,40,Teso South,teso south,TESO SOUTH,TESO SOUTH,"154,784","76,588 49.5","24,646 15.9","31,364 20.3","21,075 13.6","1,097",0.7,14,"76,588",49.5,"24,646",15.9,"31,364",20.3,"21,075",13.6,989,TESO SOUTH,Male,"73,773","38,376 52.0","12,776 17.3","13,823 18.7","8,210 11.1",583,0.8,5,"38,376",52,"12,776",17.3,"13,823",18.7,"8,210",11.1,989,TESO SOUTH,Male,"73,773","38,376 52.0","12,776 17.3","13,823 18.7","8,210 11.1",583,0.8,5,"38,376",52,"12,776",17.3,"13,823",18.7,"8,210",11.1,teso south
257,Nyeri,Nyeri,19,Tetu,tetu,TETU,TETU,"75,931","26,827 35.3","32,415 42.7","12,312 16.2","4,121 5.4",254,0.3,2,"26,827",35.3,"32,415",42.7,"12,312",16.2,"4,121",5.4,452,TETU,Male,"37,083","13,866 37.4","16,314 44.0","5,406 14.6","1,370 3.7",126,0.3,1,"13,866",37.4,"16,314",44,"5,406",14.6,"1,370",3.7,452,TETU,Male,"37,083","13,866 37.4","16,314 44.0","5,406 14.6","1,370 3.7",126,0.3,1,"13,866",37.4,"16,314",44,"5,406",14.6,"1,370",3.7,tetu
404,Kitui,Kitui,15,Thagicu,thagicu,THAGICU,THAGICU,"14,025","6,905 49.2","2,593 18.5","2,280 16.3","2,182 15.6",65,0.5,-,"6,905",49.2,"2,593",18.5,"2,280",16.3,"2,182",15.6,356,THAGICU,Male,"6,591","3,457 52.5","1,210 18.4","1,078 16.4",810 12.3,36,0.5,-,"3,457",52.5,"1,210",18.4,"1,078",16.4,810,12.3,356,THAGICU,Male,"6,591","3,457 52.5","1,210 18.4","1,078 16.4",810 12.3,36,0.5,-,"3,457",52.5,"1,210",18.4,"1,078",16.4,810,12.3,thagicu
393,Tharaka-Nithi,Chuka,13,Tharaka north,tharaka north,THARAKA NORTH,THARAKA NORTH,"54,321","23,967 44.1","7,847 14.4","10,367 19.1","10,996 20.2","1,127",2.1,17,"23,967",44.1,"7,847",14.4,"10,367",19.1,"10,996",20.2,275,THARAKA NORTH,Male,"26,290","12,019 45.7","3,891 14.8","5,124 19.5","4,679 17.8",567,2.2,10,"12,019",45.7,"3,891",14.8,"5,124",19.5,"4,679",17.8,275,THARAKA NORTH,Male,"26,290","12,019 45.7","3,891 14.8","5,124 19.5","4,679 17.8",567,2.2,10,"12,019",45.7,"3,891",14.8,"5,124",19.5,"4,679",17.8,tharaka north
280,Tharaka-Nithi,Chuka,13,Tharaka south,tharaka south,THARAKA SOUTH,THARAKA SOUTH,"69,972","31,795 45.4","13,065 18.7","15,120 21.6","9,696 13.9",291,0.4,5,"31,795",45.4,"13,065",18.7,"15,120",21.6,"9,696",13.9,278,THARAKA SOUTH,Male,"33,482","16,040 47.9","6,177 18.4","7,310 21.8","3,778 11.3",174,0.5,3,"16,040",47.9,"6,177",18.4,"7,310",21.8,"3,778",11.3,278,THARAKA SOUTH,Male,"33,482","16,040 47.9","6,177 18.4","7,310 21.8","3,778 11.3",174,0.5,3,"16,040",47.9,"6,177",18.4,"7,310",21.8,"3,778",11.3,tharaka south
390,Tharaka-Nithi,Chuka,13,,,THARAKA-NITHI,THARAKA-NITHI,"367,574","144,933 39.4","96,834 26.3","82,897 22.6","39,296 10.7","3,543",1,71,"144,933",39.4,"96,834",26.3,"82,897",22.6,"39,296",10.7,263,THARAKA-NITHI,Male,"180,692","73,509 40.7","48,177 26.7","40,913 22.6","16,089 8.9","1,966",1.1,38,"73,509",40.7,"48,177",26.7,"40,913",22.6,"16,089",8.9,263,THARAKA-NITHI,Male,"180,692","73,509 40.7","48,177 26.7","40,913 22.6","16,089 8.9","1,966",1.1,38,"73,509",40.7,"48,177",26.7,"40,913",22.6,"16,089",8.9,tharaka-nithi
439,Kiambu,Kiambu,22,Thika East,thika east,THIKA EAST,THIKA EAST,"35,971","12,908 35.9","13,773 38.3","7,090 19.7","2,033 5.7",160,0.4,7,"12,908",35.9,"13,773",38.3,"7,090",19.7,"2,033",5.7,569,THIKA EAST,Male,"18,224","6,498 35.7","7,316 40.1","3,504 19.2",802 4.4,102,0.6,2,"6,498",35.7,"7,316",40.1,"3,504",19.2,802,4.4,569,THIKA EAST,Male,"18,224","6,498 35.7","7,316 40.1","3,504 19.2",802 4.4,102,0.6,2,"6,498",35.7,"7,316",40.1,"3,504",19.2,802,4.4,thika east
440,Kiambu,Kiambu,22,Thika West,thika west,THIKA WEST,THIKA WEST,"222,632","79,125 35.5","108,733 48.8","26,659 12.0","7,129 3.2",934,0.4,52,"79,125",35.5,"108,733",48.8,"26,659",12,"7,129",3.2,572,THIKA WEST,Male,"108,506","39,523 36.4","53,030 48.9","12,062 11.1","3,312 3.1",553,0.5,26,"39,523",36.4,"53,030",48.9,"12,062",11.1,"3,312",3.1,572,THIKA WEST,Male,"108,506","39,523 36.4","53,030 48.9","12,062 11.1","3,312 3.1",553,0.5,26,"39,523",36.4,"53,030",48.9,"12,062",11.1,"3,312",3.1,thika west
463,Baringo,Kabarnet,30,Tiaty East,tiaty east,TIATY EAST,TIATY EAST,"66,408","12,368 18.6","1,767 2.7","1,593 2.4","49,822 75.0",842,1.3,16,"12,368",18.6,"1,767",2.7,"1,593",2.4,"49,822",75,725,TIATY EAST,Male,"34,848","6,714 19.3","1,168 3.4",854 2.5,"25,636 73.6",471,1.4,5,"6,714",19.3,"1,168",3.4,854,2.5,"25,636",73.6,725,TIATY EAST,Male,"34,848","6,714 19.3","1,168 3.4",854 2.5,"25,636 73.6",471,1.4,5,"6,714",19.3,"1,168",3.4,854,2.5,"25,636",73.6,tiaty east
363,Meru,Meru,12,Tigania Central,tigania central,TIGANIA CENTRAL,TIGANIA CENTRAL,"97,405","41,347 42.4","16,145 16.6","23,752 24.4","15,311 15.7",847,0.9,3,"41,347",42.4,"16,145",16.6,"23,752",24.4,"15,311",15.7,248,TIGANIA CENTRAL,Male,"48,073","20,788 43.2","8,154 17.0","11,944 24.8","6,693 13.9",492,1,2,"20,788",43.2,"8,154",17,"11,944",24.8,"6,693",13.9,248,TIGANIA CENTRAL,Male,"48,073","20,788 43.2","8,154 17.0","11,944 24.8","6,693 13.9",492,1,2,"20,788",43.2,"8,154",17,"11,944",24.8,"6,693",13.9,tigania central
175,Meru,Meru,12,Tigania east,tigania east,TIGANIA EAST,TIGANIA EAST,"67,622","29,551 43.7","11,368 16.8","11,938 17.7","13,941 20.6",769,1.1,55,"29,551",43.7,"11,368",16.8,"11,938",17.7,"13,941",20.6,251,TIGANIA EAST,Male,"32,914","14,531 44.1","5,713 17.4","5,873 17.8","6,350 19.3",418,1.3,29,"14,531",44.1,"5,713",17.4,"5,873",17.8,"6,350",19.3,251,TIGANIA EAST,Male,"32,914","14,531 44.1","5,713 17.4","5,873 17.8","6,350 19.3",418,1.3,29,"14,531",44.1,"5,713",17.4,"5,873",17.8,"6,350",19.3,tigania east
176,Meru,Meru,12,Tigania west,tigania west,TIGANIA WEST,TIGANIA WEST,"130,798","56,289 43.0","29,571 22.6","26,565 20.3","17,173 13.1","1,186",0.9,14,"56,289",43,"29,571",22.6,"26,565",20.3,"17,173",13.1,254,TIGANIA WEST,Male,"63,209","28,468 45.0","14,059 22.2","13,125 20.8","6,839 10.8",713,1.1,5,"28,468",45,"14,059",22.2,"13,125",20.8,"6,839",10.8,254,TIGANIA WEST,Male,"63,209","28,468 45.0","14,059 22.2","13,125 20.8","6,839 10.8",713,1.1,5,"28,468",45,"14,059",22.2,"13,125",20.8,"6,839",10.8,tigania west
458,Nandi,Kapsabet,29,Tinderet,tinderet,TINDERET,TINDERET,"107,208","53,281 49.7","15,851 14.8","26,221 24.5","10,645 9.9","1,199",1.1,11,"53,281",49.7,"15,851",14.8,"26,221",24.5,"10,645",9.9,701,TINDERET,Male,"54,450","27,573 50.6","8,573 15.7","12,715 23.4","4,946 9.1",634,1.2,9,"27,573",50.6,"8,573",15.7,"12,715",23.4,"4,946",9.1,701,TINDERET,Male,"54,450","27,573 50.6","8,573 15.7","12,715 23.4","4,946 9.1",634,1.2,9,"27,573",50.6,"8,573",15.7,"12,715",23.4,"4,946",9.1,tinderet
17,Bungoma,Bungoma,39,Tongaren,tongaren,TONGAREN,TONGAREN,"92,891","47,790 51.4","17,707 19.1","18,403 19.8","8,577 9.2",398,0.4,16,"47,790",51.4,"17,707",19.1,"18,403",19.8,"8,577",9.2,959,TONGAREN,Male,"44,960","24,466 54.4","8,646 19.2","7,817 17.4","3,800 8.5",223,0.5,8,"24,466",54.4,"8,646",19.2,"7,817",17.4,"3,800",8.5,959,TONGAREN,Male,"44,960","24,466 54.4","8,646 19.2","7,817 17.4","3,800 8.5",223,0.5,8,"24,466",54.4,"8,646",19.2,"7,817",17.4,"3,800",8.5,tongaren
471,Bungoma,Bungoma,39,Transmara East,transmara east,TRANS MARA EAST,TRANS MARA EAST,"102,459","56,624 55.3","7,857 7.7","19,405 18.9","18,012 17.6",543,0.5,18,"56,624",55.3,"7,857",7.7,"19,405",18.9,"18,012",17.6,797,TRANS MARA EAST,Male,"50,134","29,303 58.4","4,292 8.6","8,299 16.6","7,929 15.8",300,0.6,11,"29,303",58.4,"4,292",8.6,"8,299",16.6,"7,929",15.8,797,TRANS MARA EAST,Male,"50,134","29,303 58.4","4,292 8.6","8,299 16.6","7,929 15.8",300,0.6,11,"29,303",58.4,"4,292",8.6,"8,299",16.6,"7,929",15.8,trans mara east
472,Bungoma,Bungoma,39,Transmara West,transmara west,TRANS MARA WEST,TRANS MARA WEST,"222,496","110,934 49.9","24,455 11.0","39,895 17.9","44,669 20.1","2,498",1.1,45,"110,934",49.9,"24,455",11,"39,895",17.9,"44,669",20.1,800,TRANS MARA WEST,Male,"110,408","56,572 51.2","13,964 12.6","18,724 17.0","19,615 17.8","1,510",1.4,23,"56,572",51.2,"13,964",12.6,"18,724",17,"19,615",17.8,800,TRANS MARA WEST,Male,"110,408","56,572 51.2","13,964 12.6","18,724 17.0","19,615 17.8","1,510",1.4,23,"56,572",51.2,"13,964",12.6,"18,724",17,"19,615",17.8,trans mara west
448,Trans Nzoia,Kitale,26,,,TRANS NZOIA,TRANS NZOIA,"911,209","440,977 48.4","173,534 19.0","193,088 21.2","93,829 10.3","9,713",1.1,68,"440,977",48.4,"173,534",19,"193,088",21.2,"93,829",10.3,629,TRANS NZOIA,Male,"448,487","224,218 50.0","88,354 19.7","88,076 19.6","42,289 9.4","5,518",1.2,32,"224,218",50,"88,354",19.7,"88,076",19.6,"42,289",9.4,629,TRANS NZOIA,Male,"448,487","224,218 50.0","88,354 19.7","88,076 19.6","42,289 9.4","5,518",1.2,32,"224,218",50,"88,354",19.7,"88,076",19.6,"42,289",9.4,trans nzoia
450,Trans Nzoia,Kitale,26,Trans Nzoia East,trans nzoia east,TRANS NZOIA EAST,TRANS NZOIA EAST,"212,422","105,393 49.6","40,482 19.1","41,794 19.7","22,014 10.4","2,727",1.3,12,"105,393",49.6,"40,482",19.1,"41,794",19.7,"22,014",10.4,635,TRANS NZOIA EAST,Male,"104,721","53,788 51.4","20,509 19.6","19,023 18.2","9,910 9.5","1,487",1.4,4,"53,788",51.4,"20,509",19.6,"19,023",18.2,"9,910",9.5,635,TRANS NZOIA EAST,Male,"104,721","53,788 51.4","20,509 19.6","19,023 18.2","9,910 9.5","1,487",1.4,4,"53,788",51.4,"20,509",19.6,"19,023",18.2,"9,910",9.5,trans nzoia east
449,Trans Nzoia,Kitale,26,Trans Nzoia West,trans nzoia west,TRANS NZOIA WEST,TRANS NZOIA WEST,"184,140","87,077 47.3","37,213 20.2","40,774 22.1","16,704 9.1","2,336",1.3,36,"87,077",47.3,"37,213",20.2,"40,774",22.1,"16,704",9.1,632,TRANS NZOIA WEST,Male,"91,254","44,064 48.3","19,546 21.4","18,587 20.4","7,632 8.4","1,408",1.5,17,"44,064",48.3,"19,546",21.4,"18,587",20.4,"7,632",8.4,632,TRANS NZOIA WEST,Male,"91,254","44,064 48.3","19,546 21.4","18,587 20.4","7,632 8.4","1,408",1.5,17,"44,064",48.3,"19,546",21.4,"18,587",20.4,"7,632",8.4,trans nzoia west
130,Kitui,Kitui,15,Tseikuru,tseikuru,TSEIKURU,TSEIKURU,"37,931","18,556 48.9","6,072 16.0","5,618 14.8","7,193 19.0",492,1.3,-,"18,556",48.9,"6,072",16,"5,618",14.8,"7,193",19,359,TSEIKURU,Male,"18,096","9,316 51.5","3,094 17.1","2,626 14.5","2,765 15.3",295,1.6,-,"9,316",51.5,"3,094",17.1,"2,626",14.5,"2,765",15.3,359,TSEIKURU,Male,"18,096","9,316 51.5","3,094 17.1","2,626 14.5","2,765 15.3",295,1.6,-,"9,316",51.5,"3,094",17.1,"2,626",14.5,"2,765",15.3,tseikuru
296,Uasin Gishu,Eldoret,27,Turbo,turbo,TURBO,TURBO,"245,096","105,313 43.0","75,615 30.9","42,952 17.5","18,708 7.6","2,483",1,25,"105,313",43,"75,615",30.9,"42,952",17.5,"18,708",7.6,665,TURBO,Male,"121,921","52,662 43.2","39,530 32.4","19,989 16.4","8,282 6.8","1,447",1.2,11,"52,662",43.2,"39,530",32.4,"19,989",16.4,"8,282",6.8,665,TURBO,Male,"121,921","52,662 43.2","39,530 32.4","19,989 16.4","8,282 6.8","1,447",1.2,11,"52,662",43.2,"39,530",32.4,"19,989",16.4,"8,282",6.8,turbo
441,Turkana,Lodwar,23,,,TURKANA,TURKANA,"851,797","184,015 21.6","33,028 3.9","28,982 3.4","584,977 68.7","20,077",2.4,718,"184,015",21.6,"33,028",3.9,"28,982",3.4,"584,977",68.7,575,TURKANA,Male,"439,467","98,266 22.4","21,042 4.8","14,573 3.3","294,430 67.0","10,795",2.5,361,"98,266",22.4,"21,042",4.8,"14,573",3.3,"294,430",67,575,TURKANA,Male,"439,467","98,266 22.4","21,042 4.8","14,573 3.3","294,430 67.0","10,795",2.5,361,"98,266",22.4,"21,042",4.8,"14,573",3.3,"294,430",67,turkana
287,Turkana,Lodwar,23,Turkana central,turkana central,TURKANA CENTRAL,TURKANA CENTRAL,"166,135","53,043 31.9","15,618 9.4","12,800 7.7","82,792 49.8","1,826",1.1,56,"53,043",31.9,"15,618",9.4,"12,800",7.7,"82,792",49.8,584,TURKANA CENTRAL,Male,"82,906","27,137 32.7","9,280 11.2","6,396 7.7","39,087 47.1",977,1.2,29,"27,137",32.7,"9,280",11.2,"6,396",7.7,"39,087",47.1,584,TURKANA CENTRAL,Male,"82,906","27,137 32.7","9,280 11.2","6,396 7.7","39,087 47.1",977,1.2,29,"27,137",32.7,"9,280",11.2,"6,396",7.7,"39,087",47.1,turkana central
288,Turkana,Lodwar,23,Turkana east,turkana east,TURKANA EAST,TURKANA EAST,"130,834","16,281 12.4","2,663 2.0","1,728 1.3","105,534 80.7","4,477",3.4,151,"16,281",12.4,"2,663",2,"1,728",1.3,"105,534",80.7,587,TURKANA EAST,Male,"72,914","8,857 12.1","1,708 2.3",883 1.2,"58,792 80.6","2,588",3.5,86,"8,857",12.1,"1,708",2.3,883,1.2,"58,792",80.6,587,TURKANA EAST,Male,"72,914","8,857 12.1","1,708 2.3",883 1.2,"58,792 80.6","2,588",3.5,86,"8,857",12.1,"1,708",2.3,883,1.2,"58,792",80.6,turkana east
289,Turkana,Lodwar,23,Turkana north,turkana north,TURKANA NORTH,TURKANA NORTH,"59,378","9,689 16.3","1,120 1.9","1,079 1.8","45,956 77.4","1,530",2.6,4,"9,689",16.3,"1,120",1.9,"1,079",1.8,"45,956",77.4,590,TURKANA NORTH,Male,"29,770","5,249 17.6",842 2.8,655 2.2,"22,186 74.5",836,2.8,2,"5,249",17.6,842,2.8,655,2.2,"22,186",74.5,590,TURKANA NORTH,Male,"29,770","5,249 17.6",842 2.8,655 2.2,"22,186 74.5",836,2.8,2,"5,249",17.6,842,2.8,655,2.2,"22,186",74.5,turkana north
290,Turkana,Lodwar,23,Turkana south,turkana south,TURKANA SOUTH,TURKANA SOUTH,"142,538","31,741 22.3","4,851 3.4","4,591 3.2","98,044 68.8","3,226",2.3,85,"31,741",22.3,"4,851",3.4,"4,591",3.2,"98,044",68.8,593,TURKANA SOUTH,Male,"72,846","16,213 22.3","3,159 4.3","2,175 3.0","49,570 68.0","1,689",2.3,40,"16,213",22.3,"3,159",4.3,"2,175",3,"49,570",68,593,TURKANA SOUTH,Male,"72,846","16,213 22.3","3,159 4.3","2,175 3.0","49,570 68.0","1,689",2.3,40,"16,213",22.3,"3,159",4.3,"2,175",3,"49,570",68,turkana south
443,Turkana,Lodwar,23,Turkana west,turkana west,TURKANA WEST,TURKANA WEST,"221,118","56,472 25.5","7,390 3.3","6,466 2.9","144,136 65.2","6,342",2.9,312,"56,472",25.5,"7,390",3.3,"6,466",2.9,"144,136",65.2,596,TURKANA WEST,Male,"114,545","32,002 27.9","5,072 4.4","3,300 2.9","70,716 61.7","3,308",2.9,147,"32,002",27.9,"5,072",4.4,"3,300",2.9,"70,716",61.7,596,TURKANA WEST,Male,"114,545","32,002 27.9","5,072 4.4","3,300 2.9","70,716 61.7","3,308",2.9,147,"32,002",27.9,"5,072",4.4,"3,300",2.9,"70,716",61.7,turkana west
451,Uasin Gishu,Eldoret,27,,,UASIN GISHU,UASIN GISHU,"1,070,335","480,402 44.9","321,505 30.0","180,625 16.9","79,032 7.4","8,633",0.8,138,"480,402",44.9,"321,505",30,"180,625",16.9,"79,032",7.4,647,UASIN GISHU,Male,"531,769","241,839 45.5","163,748 30.8","85,855 16.1","35,299 6.6","4,960",0.9,68,"241,839",45.5,"163,748",30.8,"85,855",16.1,"35,299",6.6,647,UASIN GISHU,Male,"531,769","241,839 45.5","163,748 30.8","85,855 16.1","35,299 6.6","4,960",0.9,68,"241,839",45.5,"163,748",30.8,"85,855",16.1,"35,299",6.6,uasin gishu
266,Siaya,Siaya,41,Ugenya,ugenya,UGENYA,UGENYA,"125,274","60,785 48.5","23,705 18.9","24,012 19.2","15,875 12.7",886,0.7,11,"60,785",48.5,"23,705",18.9,"24,012",19.2,"15,875",12.7,1001,UGENYA,Male,"58,138","31,007 53.3","11,369 19.6","9,911 17.0","5,314 9.1",530,0.9,7,"31,007",53.3,"11,369",19.6,"9,911",17,"5,314",9.1,1001,UGENYA,Male,"58,138","31,007 53.3","11,369 19.6","9,911 17.0","5,314 9.1",530,0.9,7,"31,007",53.3,"11,369",19.6,"9,911",17,"5,314",9.1,ugenya
510,Siaya,Siaya,41,Ugunja,ugunja,UGUNJA,UGUNJA,"96,903","46,310 47.8","21,591 22.3","18,182 18.8","10,037 10.4",776,0.8,7,"46,310",47.8,"21,591",22.3,"18,182",18.8,"10,037",10.4,1004,UGUNJA,Male,"45,246","23,305 51.5","10,587 23.4","7,495 16.6","3,440 7.6",415,0.9,4,"23,305",51.5,"10,587",23.4,"7,495",16.6,"3,440",7.6,1004,UGUNJA,Male,"45,246","23,305 51.5","10,587 23.4","7,495 16.6","3,440 7.6",415,0.9,4,"23,305",51.5,"10,587",23.4,"7,495",16.6,"3,440",7.6,ugunja
185,Migori,Migori,44,Uriri,uriri,URIRI,URIRI,"129,496","68,871 53.2","21,529 16.6","27,821 21.5","9,872 7.6","1,368",1.1,35,"68,871",53.2,"21,529",16.6,"27,821",21.5,"9,872",7.6,1088,URIRI,Male,"62,155","35,294 56.8","11,059 17.8","11,288 18.2","3,788 6.1",709,1.1,17,"35,294",56.8,"11,059",17.8,"11,288",18.2,"3,788",6.1,1088,URIRI,Male,"62,155","35,294 56.8","11,059 17.8","11,288 18.2","3,788 6.1",709,1.1,17,"35,294",56.8,"11,059",17.8,"11,288",18.2,"3,788",6.1,uriri
301,Vihiga,Vihiga,38,vihiga,vihiga,VIHIGA,VIHIGA,"550,070","257,982 46.9","128,847 23.4","115,345 21.0","44,178 8.0","3,623",0.7,95,"257,982",46.9,"128,847",23.4,"115,345",21,"44,178",8,908,VIHIGA,Male,"263,949","129,422 49.0","61,789 23.4","52,189 19.8","18,682 7.1","1,815",0.7,52,"129,422",49,"61,789",23.4,"52,189",19.8,"18,682",7.1,908,VIHIGA,Male,"263,949","129,422 49.0","61,789 23.4","52,189 19.8","18,682 7.1","1,815",0.7,52,"129,422",49,"61,789",23.4,"52,189",19.8,"18,682",7.1,vihiga
